home_avg_goals,away_avg_goals,home_win_rate,away_win_rate,result
2.0,0.0,1.0,0.0,1
2.0,1.0,1.0,0.0,1
1.0,1.0,0.0,0.0,1
2.0,3.0,1.0,1.0,-1
0.5,1.5,0.0,0.5,-1
1.5,1.0,1.0,0.0,1
2.5,1.5,1.0,1.0,1
1.0,1.0,0.0,0.5,0
1.3333333333333333,1.6666666666666667,0.3333333333333333,1.0,1
1.3333333333333333,2.3333333333333335,0.6666666666666666,1.0,0
0.5,0.3333333333333333,0.0,0.0,0
1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,1
0.6666666666666666,1.5,0.3333333333333333,0.5,0
1.0,1.75,0.0,0.75,0
1.5,1.0,0.5,0.0,-1
1.6,0.75,0.6,0.0,1
1.25,0.75,0.75,0.25,1
1.3333333333333333,1.5,0.3333333333333333,0.75,0
0.75,1.0,0.0,0.5,1
1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,1.0,0
0.6,1.2,0.2,0.4,-1
2.0,3.0,1.0,1.0,-1
1.0,1.0,0.0,1.0,1
3.0,2.0,1.0,1.0,0
2.0,1.0,0.0,1.0,-1
1.0,3.0,1.0,1.0,1
2.0,0.0,0.0,0.0,-1
0.6,1.0,0.0,0.2,-1
1.0,1.5,0.4,0.25,0
1.0,2.0,0.0,0.0,-1
1.6,1.8,0.6,0.8,-1
1.0,1.0,0.0,1.0,0
1.0,3.0,1.0,1.0,0
4.0,2.0,0.0,1.0,1
2.0,4.0,1.0,0.0,1
1.5,1.5,1.0,0.5,1
1.0,0.5,0.5,0.0,1
1.0,0.5,0.5,0.5,1
2.0,1.0,0.0,1.0,1
3.0,2.0,1.0,0.0,0
3.0,2.0,1.0,0.0,-1
2.0,3.0,0.0,1.0,0
2.0,2.0,1.0,0.0,0
1.0,2.0,1.0,1.0,1
3.0,1.0,1.0,0.0,1
1.0,0.0,0.0,0.0,-1
3.0,2.0,1.0,1.0,0
1.0,1.0,0.0,1.0,1
1.0,1.0,0.5,0.5,-1
2.5,0.0,0.5,0.0,1
1.0,1.0,0.0,0.5,1
0.5,1.0,0.0,0.5,0
1.0,1.5,0.5,0.5,0
0.5,1.5,0.5,1.0,0
0.5,2.0,0.5,1.0,1
1.5,0.0,0.5,0.0,1
1.0,1.0,0.0,0.0,0
1.0,0.5,0.0,0.5,0
1.0,1.0,0.5,0.0,1
1.0,4.0,0.0,1.0,1
1.0,2.0,0.5,0.5,0
1.0,3.0,0.0,1.0,1
1.4,0.4,0.2,0.0,1
3.0,5.0,1.0,1.0,0
3.0,1.0,1.0,1.0,1
2.2,1.0,0.8,0.4,1
1.0,4.0,0.5,0.5,-1
2.0,0.0,1.0,0.0,1
2.0,0.0,0.0,0.0,1
1.5,1.0,0.5,0.5,1
1.5,1.5,0.5,1.0,1
1.0,1.0,0.0,0.0,0
2.0,2.0,0.0,1.0,1
1.0,4.0,0.0,1.0,-1
1.0,0.5,0.0,0.0,1
1.0,1.0,0.0,0.5,1
1.4,1.4,0.6,0.4,-1
2.0,0.5,0.0,0.0,1
0.4,1.2,0.0,0.2,0
1.4,1.2,0.4,0.6,0
1.0,1.0,0.5,0.5,-1
1.0,1.0,0.5,0.0,1
1.0,0.0,0.0,0.0,0
1.0,1.0,0.5,0.0,-1
1.0,0.0,0.0,0.0,-1
1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-1
1.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,1
0.5,1.0,0.5,0.0,1
1.0,0.0,0.0,0.0,-1
1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,1
0.5,1.0,0.5,0.5,1
1.0,2.0,0.5,0.5,1
1.5,2.0,0.5,0.5,1
0.6666666666666666,1.3333333333333333,0.0,0.3333333333333333,1
1.0,2.5,0.0,1.0,-1
0.3333333333333333,1.0,0.0,0.3333333333333333,1
0.6666666666666666,1.3333333333333333,0.3333333333333333,0.6666666666666666,1
1.4,2.8,0.4,0.8,-1
0.8,1.2,0.0,0.4,0
