team,matches_played,total_goals_scored,total_goals_conceded,goal_difference,team_api_id,team_long_name
9976,76,76,105,-29,9976,Bari
158085,98,101,130,-29,158085,FC Arouca
10212,248,316,346,-30,10212,CS Marítimo
9864,304,377,407,-30,9864,Málaga CF
8024,120,122,152,-30,8024,Widzew Łódź
9798,38,43,73,-30,9798,Reading
8550,38,31,61,-30,8550,FC Metz
8658,76,75,105,-30,8658,Birmingham City
6269,36,34,64,-30,6269,Novara
4170,38,31,62,-31,4170,US Boulogne Cote D'Opale
9776,34,29,60,-31,9776,Eintracht Braunschweig
274581,60,71,102,-31,274581,Royal Excel Mouscron
8388,38,38,69,-31,8388,CD Numancia
9826,114,119,150,-31,9826,Crystal Palace
9747,114,122,153,-31,9747,En Avant de Guingamp
7955,126,171,203,-32,7955,Neuchâtel Xamax
8690,38,30,62,-32,8690,Reggio Calabria
8152,34,35,68,-33,8152,FC St. Pauli
8350,68,72,105,-33,8350,1. FC Kaiserslautern
8372,76,83,116,-33,8372,SD Eibar
9867,38,40,74,-34,9867,CD Tenerife
8460,34,31,65,-34,8460,SC Paderborn 07
8357,34,26,60,-34,8357,SpVgg Greuther Fürth
8226,272,400,434,-34,8226,TSG 1899 Hoffenheim
9831,304,342,376,-34,9831,OGC Nice
8031,90,88,122,-34,8031,Polonia Bytom
8682,76,79,113,-34,8682,Le Mans FC
8242,60,50,85,-35,8242,Odra Wodzisław
10211,90,93,129,-36,10211,SC Beira Mar
9998,94,129,165,-36,9998,RAEC Mons
1773,90,126,162,-36,1773,Oud-Heverlee Leuven
9746,38,30,67,-37,9746,Le Havre AC
8245,210,237,275,-38,8245,Korona Kielce
9777,70,77,115,-38,9777,Servette FC
8028,180,204,243,-39,8028,Piast Gliwice
9882,266,318,358,-40,9882,Sampdoria
8613,68,51,91,-40,8613,Boavista FC
6547,34,29,69,-40,6547,FC Penafiel
8661,190,238,278,-40,8661,RCD Mallorca
4087,152,180,221,-41,4087,Évian Thonon Gaillard FC
9891,38,35,76,-41,9891,Frosinone
8406,170,201,242,-41,8406,FC Augsburg
8596,76,68,109,-41,8596,Falkirk
4049,34,35,77,-42,4049,Tubize
8457,38,40,82,-42,8457,Dunfermline Athletic
8649,152,192,234,-42,8649,Ross County FC
8344,38,32,74,-42,8344,Cardiff City
9927,304,403,446,-43,9927,Motherwell
10167,226,272,315,-43,10167,Parma
9855,76,55,98,-43,9855,Grenoble Foot 38
8521,114,99,143,-44,8521,Stade Brestois 29
8322,90,77,121,-44,8322,Arka Gdynia
9873,228,256,301,-45,9873,Valenciennes FC
8540,266,351,396,-45,8540,Palermo
7869,38,22,68,-46,7869,Córdoba CF
9830,152,135,181,-46,9830,FC Nantes
8244,60,50,96,-46,8244,Widzew Łódź
8033,150,169,215,-46,8033,Podbeskidzie Bielsko-Biała
8348,98,101,147,-46,8348,Moreirense FC
7819,190,220,266,-46,7819,SM Caen
10268,76,65,112,-47,10268,Elche CF
7794,152,165,212,-47,7794,SC Bastia
9911,68,72,119,-47,9911,VfL Bochum
8697,272,423,471,-48,8697,SV Werder Bremen
9837,152,168,217,-49,9837,Stade de Reims
108893,38,21,70,-49,108893,AC Arles-Avignon
9771,90,85,135,-50,9771,"União de Leiria, SAD"
8481,190,203,254,-51,8481,AS Nancy-Lorraine
8462,76,72,123,-51,8462,Portsmouth
9876,114,145,196,-51,9876,Hellas Verona
6631,34,24,76,-52,6631,FC Dordrecht
8284,114,127,180,-53,8284,Dundee FC
9879,228,265,319,-54,9879,Fulham
6433,68,74,128,-54,6433,Go Ahead Eagles
9809,90,71,125,-54,9809,Naval 1° de Maio
9999,62,62,117,-55,9999,KSV Roeselare
8614,68,76,132,-56,8614,Sparta Rotterdam
8588,114,107,163,-56,8588,RC Lens
6403,248,292,349,-57,6403,FC Paços de Ferreira
8654,266,326,383,-57,8654,West Ham United
8530,224,251,308,-57,8530,Catania
9878,38,27,84,-57,9878,Pescara
2186,210,235,293,-58,2186,Cracovia
7841,248,248,306,-58,7841,Rio Ave FC
9791,272,403,463,-60,9791,Heracles Almelo
10190,216,276,337,-61,10190,FC St. Gallen
9984,182,213,274,-61,9984,KSV Cercle Brugge
8475,96,105,166,-61,8475,Waasland-Beveren
9993,152,174,237,-63,9993,Beerschot AC
8551,150,149,213,-64,8551,Siena
9888,111,121,185,-64,9888,Lecce
8177,204,238,303,-65,8177,Hertha BSC Berlin
8191,76,70,135,-65,8191,Burnley
9986,182,201,266,-65,9986,Sporting Charleroi
7788,102,119,185,-66,7788,SC Cambuur
8696,152,160,226,-66,8696,Racing Santander
8576,114,116,184,-68,8576,AC Ajaccio
10281,152,170,238,-68,10281,Real Valladolid
8524,263,283,352,-69,8524,Atalanta
8529,264,309,378,-69,8529,Cagliari
2033,150,138,209,-71,2033,S.C. Olhanense
8537,76,66,138,-72,8537,Livorno
8559,152,181,253,-72,8559,Bolton Wanderers
8358,204,245,318,-73,8358,SC Freiburg
10251,228,259,332,-73,10251,Hibernian
10242,76,71,144,-73,10242,ES Troyes AC
8603,190,225,300,-75,8603,Real Betis Balompié
9874,228,246,321,-75,9874,FC Sochaux-Montbéliard
10001,182,217,293,-76,10001,KVC Westerlo
8165,170,193,269,-76,8165,1. FC Nürnberg
9790,272,344,421,-77,9790,Hamburger SV
8655,152,175,252,-77,8655,Blackburn Rovers
10194,304,322,401,-79,10194,Stoke City
9997,118,115,194,-79,9997,Sint-Truidense VV
8371,228,232,312,-80,8371,CA Osasuna
8464,238,310,390,-80,8464,N.E.C.
9880,110,98,179,-81,9880,Cesena
8394,152,159,240,-81,8394,Real Zaragoza
8533,303,285,367,-82,8533,Chievo Verona
9807,158,148,230,-82,9807,CF Os Belenenses
9764,124,110,193,-83,9764,Gil Vicente FC
10172,114,115,199,-84,10172,Queens Park Rangers
7730,106,99,183,-84,7730,FC Lausanne-Sports
9810,238,296,380,-84,9810,Eintracht Frankfurt
8722,204,226,311,-85,8722,1. FC Köln
8602,114,118,204,-86,8602,Wolverhampton Wanderers
10219,136,153,241,-88,10219,RKC Waalwijk
9803,238,343,431,-88,9803,Roda JC Kerkrade
8429,190,185,274,-89,8429,Hamilton Academical FC
6493,108,128,218,-90,6493,AC Bellinzona
9850,152,160,253,-93,9850,Norwich City
9783,228,241,334,-93,9783,RC Deportivo de La Coruña
8558,304,338,434,-96,8558,RCD Espanyol
10261,266,324,422,-98,10261,Newcastle United
8581,228,241,339,-98,8581,Levante UD
8667,152,144,243,-99,8667,Hull City
8659,266,305,405,-100,8659,West Bromwich Albion
9761,238,294,395,-101,9761,NAC Breda
10217,272,366,468,-102,10217,ADO Den Haag
9857,263,263,365,-102,9857,Bologna
9869,190,200,303,-103,9869,Real Sporting de Gijón
9824,108,100,204,-104,9824,FC Vaduz
10215,248,240,346,-106,10215,Académica de Coimbra
9904,272,359,465,-106,9904,Hannover 96
8472,304,333,441,-108,8472,Sunderland
9989,126,113,222,-109,9989,Lierse SK
8597,304,346,457,-111,8597,Kilmarnock
10218,136,154,265,-111,10218,Excelsior
8305,304,345,457,-112,8305,Getafe CF
8370,190,247,360,-113,8370,Rayo Vallecano
9865,190,202,321,-119,9865,UD Almería
8528,190,200,320,-120,8528,Wigan Athletic
7878,190,179,299,-120,7878,Granada CF
9930,144,153,274,-121,9930,FC Aarau
9839,136,152,273,-121,9839,VVV-Venlo
8526,136,130,254,-124,8526,De Graafschap
10252,304,335,462,-127,10252,Aston Villa
9800,266,257,393,-136,9800,St. Mirren
10238,248,238,407,-169,10238,Vitória Setúbal
8525,204,222,405,-183,8525,Willem II
