team,matches_played,total_goals_scored,total_goals_conceded,goal_difference,draw,loss,win,win_rate,avg_goals_scored,avg_goals_conceded,points,points_per_match,team_api_id,team_long_name
10242,76,71,144,-73,22,43,11,0.14473684210526316,0.9342105263157895,1.894736842105263,55,0.7236842105263158,10242,ES Troyes AC
8537,76,66,138,-72,15,48,13,0.17105263157894737,0.868421052631579,1.8157894736842106,54,0.7105263157894737,8537,Livorno
9746,38,30,67,-37,5,26,7,0.18421052631578946,0.7894736842105263,1.763157894736842,26,0.6842105263157895,9746,Le Havre AC
8457,38,40,82,-42,10,23,5,0.13157894736842105,1.0526315789473684,2.1578947368421053,25,0.6578947368421053,8457,Dunfermline Athletic
6547,34,29,69,-40,7,22,5,0.14705882352941177,0.8529411764705882,2.0294117647058822,22,0.6470588235294118,6547,FC Penafiel
8357,34,26,60,-34,9,21,4,0.11764705882352941,0.7647058823529411,1.7647058823529411,21,0.6176470588235294,8357,SpVgg Greuther Fürth
6631,34,24,76,-52,8,22,4,0.11764705882352941,0.7058823529411765,2.235294117647059,20,0.5882352941176471,6631,FC Dordrecht
9878,38,27,84,-57,4,28,6,0.15789473684210525,0.7105263157894737,2.210526315789474,22,0.5789473684210527,9878,Pescara
7869,38,22,68,-46,11,24,3,0.07894736842105263,0.5789473684210527,1.7894736842105263,20,0.5263157894736842,7869,Córdoba CF
108893,38,21,70,-49,11,24,3,0.07894736842105263,0.5526315789473685,1.8421052631578947,20,0.5263157894736842,108893,AC Arles-Avignon
