feature,importance
goal_diff_strength,0.15040608543974346
win_rate_diff,0.13738279692890504
defense_diff,0.1319564330192306
home_avg_goals,0.11959293553413654
home_win_rate,0.119208012814839
away_avg_goals,0.11567482593227493
away_win_rate,0.11431742580940929
form_diff,0.041932389044243984
away_recent_form,0.03486106665610361
home_recent_form,0.03466802882111354
